schema_version,library_version,kernel_id,playful_name,excuse_family_id,excuse_family_label,cause_type,responsibility_strategy,intents,actions,compatible_timing,suitable_relationships,obligation_range,supported_contexts,supported_audience_sizes,supported_channels,supported_tones,linguistic_features,repair_options,risk_flags,idea_direction,repair_direction,content_status,is_fallback
1,1.1.0,en_capacity_reset,Quiet Recharge,capacityWellbeing,Capacity and wellbeing,capacity,honestBoundary,getOutOfPlans;recoverFromSituation,cancel;leaveEarly;backOut,plannedAhead;today;lastMinute,close;familiar,casual;expected,celebration;party;dinner;date;family;friends;hobby;other,individual;group,text;voiceNote;call;inPerson,lowKey;nice,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
1,1.1.0,en_existing_commitment,Calendar Shield,planningFailure,Planning failure,priorCommitment,limitedControl,getOutOfPlans;buyTime,cancel;decline;reschedule,plannedAhead;today,close;familiar;distant;professional;authority,expected;important,celebration;party;dinner;date;family;work;friends;hobby;travel;other,individual;group,text;voiceNote;call;inPerson,lowKey;nice,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
1,1.1.0,en_schedule_collision,Double-Booked,planningFailure,Planning failure,schedulingConflict,acknowledgeMistake,getOutOfPlans;buyTime,backOut;reschedule;delay,plannedAhead;today;lastMinute,close;familiar;distant;professional;authority,expected;paidOrReserved,celebration;party;dinner;date;family;work;friends;hobby;travel;other,individual;group,text;voiceNote;call;inPerson,lowKey;nice;dramatic,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
1,1.1.0,en_logistics_delay,Transit Tangle,moneyLogistics,Money and logistics,logistics,limitedControl,buyTime;recoverFromSituation,delay;explainLateness,today;lastMinute;alreadyLate,close;familiar;distant;professional;authority,casual;expected;important;paidOrReserved;hardToReplace,dinner;date;work;friends;travel;other,individual;group,text;voiceNote;call;inPerson,lowKey;funny,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
1,1.1.0,en_budget_boundary,Wallet Boundary,moneyLogistics,Money and logistics,budget,honestBoundary,getOutOfPlans,cancel;decline;avoidCommitting,plannedAhead;today,close;familiar,paidOrReserved,celebration;party;dinner;date;friends,individual;group,text;voiceNote;call;inPerson,lowKey;nice,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
1,1.1.0,en_work_overrun,Deadline Drift,workStudy,Work and study,workStudy,limitedControl,getOutOfPlans;buyTime;recoverFromSituation,cancel;delay;explainLateness;explainAbsence,today;lastMinute;alreadyLate;alreadyMissed,close;familiar;distant;professional;authority,casual;expected;important;paidOrReserved;hardToReplace,celebration;party;dinner;date;work;friends;hobby;other,individual;group,text;voiceNote;call;inPerson,lowKey;nice;dramatic,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
1,1.1.0,en_household_responsibility,Home Front,careFamily,Care and family,householdCare,limitedControl,getOutOfPlans;buyTime,cancel;leaveEarly;reschedule,today;lastMinute,close;familiar;distant;professional;authority,casual;expected;important;paidOrReserved;hardToReplace,family;dinner;party;date;friends;other,individual;group,text;voiceNote;call;inPerson,lowKey;nice,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
1,1.1.0,en_planning_mistake,Calendar Goblin,absurdDramatic,Absurd and dramatic,planningFailure,acknowledgeMistake,recoverFromSituation,explainLateness;explainAbsence,today;lastMinute;alreadyLate;alreadyMissed,close;familiar;distant;professional;authority,casual;expected;important;paidOrReserved;hardToReplace,celebration;party;dinner;date;family;work;friends;hobby;travel;other,individual;group,text;voiceNote;call;inPerson,funny;dramatic;unhinged,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
1,1.1.0,en_early_start,Tomorrow Tax,capacityWellbeing,Capacity and wellbeing,capacity,honestBoundary,getOutOfPlans,cancel;leaveEarly;backOut,plannedAhead;today;lastMinute,close;familiar,casual;expected;important;paidOrReserved;hardToReplace,celebration;party;dinner;date;friends,individual;group,text;voiceNote;call;inPerson,lowKey;nice;funny,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
1,1.1.0,en_honest_decline,Clean No,boundaryPreference,Boundary and preference,preference,honestBoundary,getOutOfPlans;buyTime,decline;avoidCommitting,plannedAhead;today;recurring,close;familiar;distant;professional;authority,casual;expected,celebration;party;dinner;date;family;work;friends;hobby;travel;other,individual;group,text;voiceNote;call;inPerson,lowKey;nice,minimalDetail,briefApology,medicalClaim;familyEmergency;legalClaim;financialClaim;identityClaim,[FILL IN],[FILL IN],placeholder,false
